,SessionId,TimeStr,Time,ItemId
15435,84,2020-11-16 07:33:38,1605512018,7
15459,85,2020-11-12 06:36:32,1605162992,7
15527,86,2020-10-31 04:34:40,1604118880,7
15653,87,2020-11-10 14:03:25,1605017005,7
15660,88,2020-11-17 09:07:19,1605604039,7
15940,89,2020-11-07 06:57:21,1604732241,7
16020,90,2020-11-02 04:35:50,1604291750,7
16021,90,2020-11-02 05:00:41,1604293241,7
16149,91,2020-11-04 12:05:17,1604491517,7
16150,91,2020-11-04 12:22:42,1604492562,7
16361,92,2020-11-17 13:15:50,1605618950,7
16362,92,2020-11-17 13:15:52,1605618952,7
16643,93,2020-11-06 08:39:08,1604651948,7
16644,93,2020-11-06 08:40:48,1604652048,7
16796,94,2020-11-10 07:22:20,1604992940,7
16855,95,2020-11-19 05:04:56,1605762296,7
17059,96,2020-11-04 16:33:20,1604507600,7
17060,96,2020-11-04 16:33:21,1604507601,7
17061,96,2020-11-04 16:33:34,1604507614,7
17062,96,2020-11-04 16:33:45,1604507625,7
17334,97,2020-11-28 00:28:00,1606523280,7
17496,98,2020-11-27 07:17:10,1606461430,7
17497,99,2020-11-17 16:21:15,1605630075,7
17498,99,2020-11-17 16:24:13,1605630253,7
17570,100,2020-11-17 13:39:56,1605620396,7
18516,101,2020-11-07 06:43:50,1604731430,7
18517,101,2020-11-07 06:43:51,1604731431,7
18706,102,2020-11-08 05:42:13,1604814133,7
18707,102,2020-11-08 05:42:29,1604814149,7
18775,103,2020-11-22 13:08:06,1606050486,7
19336,104,2020-11-19 09:48:37,1605779317,7
19337,104,2020-11-19 09:49:50,1605779390,7
19362,105,2020-11-14 07:43:33,1605339813,7
19363,105,2020-11-14 07:44:11,1605339851,7
20063,106,2020-11-09 18:39:07,1604947147,7
20064,106,2020-11-09 18:39:38,1604947178,7
20065,106,2020-11-09 18:39:44,1604947184,7
20108,107,2020-11-11 12:23:55,1605097435,7
20257,108,2020-11-03 10:37:22,1604399842,7
20342,109,2020-11-09 11:01:12,1604919672,7
20343,109,2020-11-09 11:08:34,1604920114,7
20751,110,2020-11-05 18:01:54,1604599314,7
21031,111,2020-11-23 05:54:44,1606110884,7
21032,111,2020-11-23 05:55:40,1606110940,7
21122,112,2020-11-05 07:31:04,1604561464,7
21417,113,2020-11-20 16:25:08,1605889508,7
21418,113,2020-11-20 16:25:30,1605889530,7
21657,114,2020-11-22 08:44:58,1606034698,7
22084,115,2020-10-31 19:12:39,1604171559,7
22449,116,2020-11-16 16:15:09,1605543309,7
22450,116,2020-11-16 16:15:28,1605543328,7
22637,117,2020-11-16 15:30:14,1605540614,7
22638,117,2020-11-16 15:31:21,1605540681,7
22813,118,2020-11-03 08:59:53,1604393993,7
23019,119,2020-11-06 14:34:35,1604673275,7
23032,120,2020-11-02 04:48:46,1604292526,7
23118,121,2020-11-20 04:19:08,1605845948,7
23130,122,2020-11-22 13:52:49,1606053169,7
23131,122,2020-11-22 13:53:24,1606053204,7
23158,123,2020-11-23 09:33:12,1606123992,7
23175,124,2020-11-20 21:27:12,1605907632,7
23256,125,2020-11-03 09:01:16,1604394076,7
23277,126,2020-11-16 13:04:29,1605531869,7
23718,127,2020-11-02 16:36:00,1604334960,7
24194,128,2020-11-10 09:48:30,1605001710,7
24215,129,2020-11-21 15:42:22,1605973342,7
24400,130,2020-11-28 13:54:15,1606571655,7
24401,130,2020-11-28 13:54:36,1606571676,7
24436,131,2020-11-21 11:42:27,1605958947,7
24776,132,2020-11-12 21:32:16,1605216736,7
24777,132,2020-11-12 21:32:31,1605216751,7
24978,133,2020-11-21 22:16:16,1605996976,7
25046,134,2020-11-28 22:25:02,1606602302,7
25047,134,2020-11-28 22:25:03,1606602303,7
25141,135,2020-11-19 08:59:34,1605776374,7
25426,136,2020-11-16 18:03:19,1605549799,7
25479,137,2020-11-01 03:40:43,1604202043,7
25480,137,2020-11-01 03:44:20,1604202260,7
25481,137,2020-11-01 03:44:38,1604202278,7
25503,138,2020-11-26 20:46:40,1606423600,7
25653,139,2020-11-06 09:53:34,1604656414,7
25728,140,2020-11-08 18:41:28,1604860888,7
25902,141,2020-11-22 19:12:39,1606072359,7
26203,142,2020-11-21 13:03:28,1605963808,7
26354,143,2020-11-08 09:29:10,1604827750,7
26494,144,2020-11-04 15:51:25,1604505085,7
26495,144,2020-11-04 15:58:15,1604505495,7
26703,145,2020-11-17 11:13:14,1605611594,7
26704,146,2020-11-07 08:17:40,1604737060,7
26721,147,2020-11-08 06:58:13,1604818693,7
26722,147,2020-11-08 06:58:14,1604818694,7
26777,148,2020-11-25 08:25:58,1606292758,7
26778,148,2020-11-25 08:26:02,1606292762,7
26779,148,2020-11-25 08:26:24,1606292784,7
26844,149,2020-11-17 05:15:02,1605590102,7
26860,150,2020-11-12 22:20:06,1605219606,7
26888,151,2020-11-20 11:01:42,1605870102,7
26889,151,2020-11-20 11:02:20,1605870140,7
26959,152,2020-11-06 14:05:11,1604671511,7
26960,152,2020-11-06 14:05:24,1604671524,7
26961,152,2020-11-06 14:05:46,1604671546,7
26996,153,2020-10-31 06:52:15,1604127135,7
27273,154,2020-11-09 07:31:54,1604907114,7
27706,155,2020-11-24 21:51:12,1606254672,7
27721,156,2020-11-05 12:48:22,1604580502,7
27791,157,2020-11-11 00:34:36,1605054876,7
27913,158,2020-11-17 09:30:45,1605605445,7
28076,159,2020-11-11 11:00:56,1605092456,7
28077,159,2020-11-11 11:00:57,1605092457,7
28107,160,2020-11-01 18:06:09,1604253969,7
28108,160,2020-11-01 18:06:12,1604253972,7
28109,160,2020-11-01 18:06:14,1604253974,7
28110,160,2020-11-01 18:06:16,1604253976,7
28111,160,2020-11-01 18:06:17,1604253977,7
28168,161,2020-10-19 16:00:13,1603123213,7
28169,161,2020-10-19 16:00:23,1603123223,7
28214,162,2020-11-19 05:03:41,1605762221,7
28310,163,2020-11-10 16:34:03,1605026043,7
28548,164,2020-11-20 14:07:28,1605881248,7
28597,165,2020-11-05 20:13:08,1604607188,7
28684,166,2020-11-19 12:20:32,1605788432,7
28720,167,2020-11-22 11:29:12,1606044552,7
28721,167,2020-11-22 11:30:12,1606044612,7
28894,168,2020-11-02 11:17:08,1604315828,7
28950,169,2020-11-20 13:00:55,1605877255,7
29003,170,2020-11-10 17:25:37,1605029137,7
29361,171,2020-11-04 08:08:56,1604477336,7
29484,172,2020-11-14 18:04:05,1605377045,7
29503,173,2020-11-24 18:10:54,1606241454,7
29504,173,2020-11-24 18:11:12,1606241472,7
29909,174,2020-11-18 07:38:48,1605685128,7
29910,174,2020-11-18 07:40:39,1605685239,7
29911,174,2020-11-18 07:41:33,1605685293,7
29912,174,2020-11-18 07:41:58,1605685318,7
29913,174,2020-11-18 07:42:14,1605685334,7
30041,175,2020-11-09 15:35:36,1604936136,7
30092,176,2020-11-01 18:23:14,1604254994,7
30098,177,2020-11-28 18:07:15,1606586835,7
30099,177,2020-11-28 18:07:16,1606586836,7
30100,177,2020-11-28 18:07:20,1606586840,7
30101,177,2020-11-28 18:07:21,1606586841,7
30102,177,2020-11-28 18:07:22,1606586842,7
30103,177,2020-11-28 18:07:23,1606586843,7
30104,177,2020-11-28 18:07:24,1606586844,7
30105,177,2020-11-28 18:07:27,1606586847,7
30106,177,2020-11-28 18:07:29,1606586849,7
30107,177,2020-11-28 18:07:34,1606586854,7
30108,177,2020-11-28 18:07:52,1606586872,7
30184,178,2020-11-09 10:18:08,1604917088,7
30185,178,2020-11-09 10:52:24,1604919144,7
30256,179,2020-11-16 12:11:03,1605528663,7
30301,180,2020-11-01 17:56:02,1604253362,7
30387,181,2020-10-31 08:50:41,1604134241,7
30388,181,2020-10-31 08:52:56,1604134376,7
30442,182,2020-11-23 13:48:48,1606139328,7
30443,182,2020-11-23 13:55:49,1606139749,7
30552,183,2020-11-23 03:51:52,1606103512,7
30632,184,2020-11-16 18:51:17,1605552677,7
30878,185,2020-11-03 10:08:01,1604398081,7
30925,186,2020-11-01 21:14:17,1604265257,7
31176,187,2020-11-03 12:30:45,1604406645,7
31177,187,2020-11-03 12:30:50,1604406650,7
31336,188,2020-11-10 07:46:58,1604994418,7
31337,188,2020-11-10 07:47:35,1604994455,7
31338,188,2020-11-10 07:47:36,1604994456,7
31529,189,2020-11-18 11:30:03,1605699003,7
31530,189,2020-11-18 11:30:23,1605699023,7
31790,190,2020-11-13 13:12:56,1605273176,7
31922,191,2020-11-18 07:00:42,1605682842,7
32067,192,2020-11-22 18:22:59,1606069379,7
32133,193,2020-11-08 08:57:48,1604825868,7
32274,194,2020-11-17 07:11:00,1605597060,7
32378,195,2020-11-26 06:24:07,1606371847,7
32379,195,2020-11-26 06:25:22,1606371922,7
32380,195,2020-11-26 06:25:41,1606371941,7
32381,195,2020-11-26 06:26:28,1606371988,7
32434,196,2020-11-02 09:56:37,1604310997,7
32435,196,2020-11-02 09:56:40,1604311000,7
32436,196,2020-11-02 09:56:42,1604311002,7
32437,196,2020-11-02 09:56:43,1604311003,7
32438,196,2020-11-02 09:56:45,1604311005,7
32439,196,2020-11-02 09:56:46,1604311006,7
32553,197,2020-11-05 20:16:18,1604607378,7
32603,198,2020-11-11 06:36:18,1605076578,7
32604,198,2020-11-11 06:36:37,1605076597,7
32705,199,2020-11-23 18:02:26,1606154546,7
32706,199,2020-11-23 18:09:22,1606154962,7
32707,199,2020-11-23 18:09:38,1606154978,7
33092,200,2020-11-24 09:47:26,1606211246,7
33150,201,2020-11-10 13:39:13,1605015553,7
33328,202,2020-11-09 23:10:04,1604963404,7
33329,203,2020-11-18 08:10:51,1605687051,7
33330,203,2020-11-18 08:18:09,1605687489,7
33401,204,2020-11-11 16:27:03,1605112023,7
33473,205,2020-11-12 06:58:58,1605164338,7
33474,205,2020-11-12 07:00:06,1605164406,7
33496,206,2020-11-07 19:03:55,1604775835,7
33597,207,2020-11-18 12:52:22,1605703942,7
33637,208,2020-11-20 05:31:11,1605850271,7
33638,208,2020-11-20 05:32:11,1605850331,7
33639,208,2020-11-20 05:32:53,1605850373,7
33640,208,2020-11-20 05:33:18,1605850398,7
33843,209,2020-11-10 09:17:03,1604999823,7
33922,210,2020-11-08 16:55:57,1604854557,7
33971,211,2020-11-11 15:24:08,1605108248,7
34341,212,2020-11-20 12:50:20,1605876620,7
34346,213,2020-11-23 23:48:56,1606175336,7
34347,213,2020-11-23 23:49:22,1606175362,7
34348,213,2020-11-23 23:50:30,1606175430,7
34937,214,2020-11-05 03:42:51,1604547771,7
34989,215,2020-11-28 01:58:07,1606528687,7
35041,216,2020-11-16 20:14:38,1605557678,7
35042,216,2020-11-16 20:14:49,1605557689,7
35043,217,2020-10-31 06:11:15,1604124675,7
35044,217,2020-10-31 06:11:32,1604124692,7
35045,217,2020-10-31 06:11:33,1604124693,7
35151,218,2020-11-23 05:33:24,1606109604,7
35202,219,2020-11-04 18:29:53,1604514593,7
35203,219,2020-11-04 18:30:05,1604514605,7
35204,219,2020-11-04 18:30:33,1604514633,7
35205,219,2020-11-04 18:32:34,1604514754,7
35219,220,2020-11-07 01:00:48,1604710848,7
35310,221,2020-11-20 19:37:24,1605901044,7
35503,222,2020-11-08 19:32:42,1604863962,7
35619,223,2020-11-08 10:21:46,1604830906,7
35725,224,2020-11-04 15:29:14,1604503754,7
35733,225,2020-11-06 22:05:12,1604700312,7
35811,226,2020-11-07 16:08:41,1604765321,7
35812,226,2020-11-07 16:08:42,1604765322,7
35813,226,2020-11-07 16:08:44,1604765324,7
36600,227,2020-11-23 13:23:29,1606137809,7
36601,227,2020-11-23 13:27:50,1606138070,7
36666,228,2020-11-15 10:30:11,1605436211,7
36830,229,2020-11-06 21:45:13,1604699113,7
37294,230,2020-11-23 04:21:49,1606105309,7
37483,231,2020-10-31 10:15:59,1604139359,7
37653,232,2020-11-21 08:13:34,1605946414,7
37654,232,2020-11-21 08:14:14,1605946454,7
37655,232,2020-11-21 08:16:26,1605946586,7
38131,233,2020-11-17 14:46:06,1605624366,7
38155,234,2020-10-31 07:42:54,1604130174,7
38534,235,2020-11-11 17:15:28,1605114928,7
38602,236,2020-11-06 12:49:58,1604666998,7
38618,39,2020-11-24 07:33:22,1606203202,7
38619,39,2020-11-24 07:33:23,1606203203,7
38707,237,2020-11-11 09:56:30,1605088590,7
39030,238,2020-11-08 04:42:14,1604810534,7
39031,238,2020-11-08 04:42:34,1604810554,7
39032,238,2020-11-08 04:44:33,1604810673,7
39033,238,2020-11-08 04:46:59,1604810819,7
39841,239,2020-11-20 18:41:29,1605897689,7
39842,239,2020-11-20 18:41:44,1605897704,7
39950,240,2020-11-19 16:30:58,1605803458,7
39951,240,2020-11-19 16:31:10,1605803470,7
39966,241,2020-11-19 10:26:33,1605781593,7
40031,242,2020-11-14 11:03:52,1605351832,7
40032,242,2020-11-14 11:09:25,1605352165,7
40247,243,2020-11-20 18:03:35,1605895415,7
40248,243,2020-11-20 18:04:38,1605895478,7
40426,244,2020-11-18 05:10:01,1605676201,7
40427,244,2020-11-18 05:10:22,1605676222,7
40571,245,2020-11-08 12:16:24,1604837784,7
40620,246,2020-11-10 10:45:39,1605005139,7
40621,246,2020-11-10 10:46:37,1605005197,7
40622,246,2020-11-10 10:46:38,1605005198,7
40638,247,2020-11-01 17:44:54,1604252694,7
40639,247,2020-11-01 17:44:55,1604252695,7
40726,248,2020-11-18 16:43:27,1605717807,7
40727,248,2020-11-18 16:43:28,1605717808,7
40853,249,2020-11-25 07:45:11,1606290311,7
40854,249,2020-11-25 07:45:40,1606290340,7
41024,250,2020-10-31 09:09:17,1604135357,7
41223,251,2020-10-31 04:46:57,1604119617,7
41361,252,2020-11-28 15:21:33,1606576893,7
41503,253,2020-11-06 04:13:58,1604636038,7
41630,254,2020-11-15 15:22:47,1605453767,7
41631,254,2020-11-15 15:23:02,1605453782,7
42200,255,2020-11-20 12:53:30,1605876810,7
42270,256,2020-11-20 16:14:08,1605888848,7
42295,257,2020-11-12 15:17:07,1605194227,7
42372,258,2020-11-14 05:36:30,1605332190,7
42487,259,2020-11-20 08:31:59,1605861119,7
42491,260,2020-11-23 07:29:34,1606116574,7
42866,261,2020-11-10 05:28:44,1604986124,7
42925,262,2020-11-12 21:13:39,1605215619,7
43173,263,2020-11-19 08:39:44,1605775184,7
43174,263,2020-11-19 08:39:46,1605775186,7
43175,263,2020-11-19 08:39:47,1605775187,7
43176,263,2020-11-19 08:41:20,1605775280,7
43444,264,2020-11-17 16:30:54,1605630654,7
43445,264,2020-11-17 16:34:41,1605630881,7
43484,265,2020-11-12 13:32:55,1605187975,7
44262,266,2020-11-08 05:00:02,1604811602,7
44639,267,2020-11-18 13:11:19,1605705079,7
44733,268,2020-11-24 10:41:29,1606214489,7
44734,268,2020-11-24 10:41:30,1606214490,7
45254,269,2020-11-28 09:56:16,1606557376,7
45255,269,2020-11-28 09:56:59,1606557419,7
45256,269,2020-11-28 09:57:13,1606557433,7
45257,269,2020-11-28 09:57:21,1606557441,7
45258,269,2020-11-28 09:58:00,1606557480,7
45285,270,2020-11-10 16:08:19,1605024499,7
45383,271,2020-11-11 15:51:36,1605109896,7
45512,272,2020-11-03 11:22:07,1604402527,7
45530,273,2020-11-18 13:39:02,1605706742,7
45540,274,2020-11-10 12:39:58,1605011998,7
45670,275,2020-11-12 11:26:35,1605180395,7
45697,276,2020-11-22 19:34:38,1606073678,7
45784,277,2020-10-31 12:48:52,1604148532,7
45785,277,2020-10-31 12:49:18,1604148558,7
46173,278,2020-11-09 08:50:33,1604911833,7
46174,278,2020-11-09 08:51:24,1604911884,7
46175,278,2020-11-09 08:59:08,1604912348,7
46345,279,2020-11-14 17:26:43,1605374803,7
46508,280,2020-11-22 10:08:38,1606039718,7
46509,280,2020-11-22 10:08:42,1606039722,7
46587,281,2020-11-18 09:06:31,1605690391,7
46588,281,2020-11-18 09:09:14,1605690554,7
46642,282,2020-11-23 10:17:17,1606126637,7
46643,282,2020-11-23 10:17:18,1606126638,7
46904,283,2020-11-20 13:36:39,1605879399,7
47407,284,2020-11-02 11:28:08,1604316488,7
47408,284,2020-11-02 11:28:20,1604316500,7
47442,285,2020-11-14 06:51:52,1605336712,7
47443,285,2020-11-14 06:54:41,1605336881,7
47472,286,2020-11-10 03:43:50,1604979830,7
47501,287,2020-11-02 18:18:12,1604341092,7
47502,287,2020-11-02 18:18:40,1604341120,7
47503,287,2020-11-02 18:18:57,1604341137,7
47504,287,2020-11-02 18:19:45,1604341185,7
47708,288,2020-11-15 19:44:22,1605469462,7
47785,289,2020-11-12 15:14:51,1605194091,7
48038,290,2020-11-21 13:35:40,1605965740,7
48315,291,2020-11-11 05:28:26,1605072506,7
48520,292,2020-11-22 06:09:54,1606025394,7
48555,293,2020-11-28 16:35:10,1606581310,7
48556,293,2020-11-28 16:35:39,1606581339,7
48557,293,2020-11-28 16:35:43,1606581343,7
48869,294,2020-11-07 14:35:43,1604759743,7
49627,295,2020-11-26 11:31:59,1606390319,7
50001,296,2020-11-17 04:45:53,1605588353,7
50005,297,2020-11-08 20:35:16,1604867716,7
50108,298,2020-10-31 02:12:45,1604110365,7
50176,299,2020-11-14 18:19:59,1605377999,7
50177,299,2020-11-14 18:20:03,1605378003,7
50178,299,2020-11-14 18:20:04,1605378004,7
50200,300,2020-11-18 17:26:59,1605720419,7
50778,301,2020-11-17 09:46:13,1605606373,7
50878,302,2020-11-20 07:10:00,1605856200,7
51082,303,2020-11-28 08:24:13,1606551853,7
51083,303,2020-11-28 08:24:21,1606551861,7
51084,303,2020-11-28 08:24:30,1606551870,7
51085,303,2020-11-28 08:24:50,1606551890,7
51086,303,2020-11-28 08:24:51,1606551891,7
51128,304,2020-11-15 12:40:45,1605444045,7
51319,305,2020-10-31 19:57:51,1604174271,7
51331,306,2020-11-16 08:39:36,1605515976,7
51332,306,2020-11-16 08:39:37,1605515977,7
51333,306,2020-11-16 08:39:58,1605515998,7
51559,307,2020-11-02 18:33:59,1604342039,7
51560,307,2020-11-02 18:34:00,1604342040,7
51849,308,2020-11-11 11:58:32,1605095912,7
51871,309,2020-11-03 13:48:51,1604411331,7
52333,310,2020-11-04 10:14:28,1604484868,7
52540,311,2020-11-14 13:01:27,1605358887,7
52588,312,2020-11-17 09:44:49,1605606289,7
52806,313,2020-11-02 06:16:13,1604297773,7
52830,13,2020-11-06 06:26:43,1604644003,7
52831,13,2020-11-06 06:26:47,1604644007,7
53024,314,2020-11-17 02:59:28,1605581968,7
53025,314,2020-11-17 02:59:35,1605581975,7
53051,315,2020-11-15 21:50:00,1605477000,7
53377,316,2020-11-07 19:29:28,1604777368,7
53378,316,2020-11-07 19:29:48,1604777388,7
53379,316,2020-11-07 19:29:49,1604777389,7
53397,317,2020-11-25 05:24:57,1606281897,7
53398,317,2020-11-25 05:34:46,1606282486,7
53455,318,2020-11-21 22:23:58,1605997438,7
53456,318,2020-11-21 22:23:59,1605997439,7
53572,319,2020-11-11 18:43:59,1605120239,7
53582,320,2020-11-01 19:16:11,1604258171,7
53583,320,2020-11-01 19:16:12,1604258172,7
53625,321,2020-11-18 06:23:04,1605680584,7
53832,322,2020-11-08 22:22:30,1604874150,7
53856,323,2020-11-09 05:13:34,1604898814,7
53921,324,2020-10-31 16:29:37,1604161777,7
54060,325,2020-11-28 04:41:43,1606538503,7
54319,326,2020-11-08 12:16:46,1604837806,7
54480,327,2020-11-04 11:08:42,1604488122,7
54512,328,2020-11-11 17:13:56,1605114836,7
54515,329,2020-11-18 05:46:43,1605678403,7
54523,330,2020-11-28 06:28:59,1606544939,7
54617,331,2020-11-05 18:49:15,1604602155,7
54625,332,2020-11-09 13:28:35,1604928515,7
54626,332,2020-11-09 13:28:37,1604928517,7
54685,333,2020-11-07 05:28:32,1604726912,7
54867,334,2020-11-01 16:04:00,1604246640,7
54875,335,2020-11-26 23:15:07,1606432507,7
54898,336,2020-11-03 12:16:35,1604405795,7
54899,336,2020-11-03 12:16:36,1604405796,7
54900,336,2020-11-03 12:16:53,1604405813,7
54977,337,2020-11-03 12:53:59,1604408039,7
54978,337,2020-11-03 12:54:04,1604408044,7
54996,338,2020-11-21 14:25:53,1605968753,7
55410,339,2020-11-27 09:29:54,1606469394,7
55652,340,2020-11-09 12:16:00,1604924160,7
55653,340,2020-11-09 12:16:11,1604924171,7
55654,340,2020-11-09 12:17:15,1604924235,7
55655,340,2020-11-09 12:17:33,1604924253,7
56056,341,2020-11-20 14:35:46,1605882946,7
56432,342,2020-11-18 07:33:07,1605684787,7
56756,343,2020-11-22 03:48:11,1606016891,7
56903,344,2020-11-05 10:50:08,1604573408,7
56904,344,2020-11-05 10:50:21,1604573421,7
56905,344,2020-11-05 10:51:19,1604573479,7
56944,345,2020-11-05 19:05:34,1604603134,7
57191,346,2020-11-19 19:35:40,1605814540,7
57281,347,2020-11-20 03:54:12,1605844452,7
57282,347,2020-11-20 03:54:14,1605844454,7
57283,347,2020-11-20 03:54:56,1605844496,7
57284,347,2020-11-20 03:55:00,1605844500,7
57293,348,2020-11-18 07:10:57,1605683457,7
57294,348,2020-11-18 07:11:00,1605683460,7
57295,348,2020-11-18 07:11:05,1605683465,7
57296,348,2020-11-18 07:11:20,1605683480,7
57297,348,2020-11-18 07:11:24,1605683484,7
57422,46,2020-11-06 06:17:01,1604643421,7
57722,349,2020-11-02 09:02:28,1604307748,7
57915,350,2020-11-21 20:59:36,1605992376,7
58035,351,2020-11-22 03:11:55,1606014715,7
58134,352,2020-11-12 09:12:24,1605172344,7
58135,352,2020-11-12 09:12:44,1605172364,7
58136,352,2020-11-12 09:12:49,1605172369,7
58143,353,2020-11-24 10:11:20,1606212680,7
58160,354,2020-11-19 09:39:36,1605778776,7
58251,355,2020-11-04 09:00:14,1604480414,7
58252,355,2020-11-04 09:10:11,1604481011,7
58381,356,2020-11-29 08:17:04,1606637824,7
58470,357,2020-11-06 14:12:36,1604671956,7
58524,358,2020-11-22 07:16:27,1606029387,7
58777,359,2020-11-11 12:54:40,1605099280,7
